,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주),name,code,year
"2017/12
									
(IFRS연결)","2,395,754","536,450","536,450","561,960","421,867","413,446","8,422","3,017,521","872,607","2,144,914","2,072,134","72,780","8,975","621,620","-493,852","-125,609","427,922","193,698","188,140",22.39,17.61,21.01,14.96,40.68,"24,536.12","5,421",9.40,"30,427",1.67,850,1.67,14.09,"6,454,924,700",삼성전자우,005935,2017
"2018/12
									
(IFRS연결)","2,437,714","588,867","588,867","611,600","443,449","438,909","4,540","3,393,572","916,041","2,477,532","2,400,690","76,842","8,975","670,319","-522,405","-150,902","295,564","374,755","146,671",24.16,18.19,19.63,13.83,36.97,"27,531.92","6,024",6.42,"35,342",1.09,"1,416",3.66,21.92,"5,969,782,550",삼성전자우,005935,2018
"2019/12
									
(IFRS연결)","2,304,009","277,685","277,685","304,322","217,389","215,051","2,338","3,525,645","896,841","2,628,804","2,549,155","79,649","8,975","453,829","-399,482","-94,845","253,678","200,152","184,120",12.05,9.44,8.69,6.28,34.12,"28,856.02","3,166",17.63,"37,528",1.49,"1,416",2.54,44.73,"5,969,782,550",삼성전자우,005935,2019
"2020/12
									
(IFRS연결)","2,368,070","359,939","359,939","363,451","264,078","260,908","3,170","3,782,357","1,022,877","2,759,480","2,676,703","82,777","8,975","652,870","-536,286","-83,278","375,920","276,950","202,174",15.20,11.15,9.98,7.23,37.07,"30,692.79","3,841",21.09,"39,406",2.06,"2,994",3.70,77.95,"5,969,782,550",삼성전자우,005935,2020
"2021/12
									
(IFRS연결)","2,796,048","516,339","516,339","533,518","399,074","392,438","6,637","4,266,212","1,217,212","3,048,999","2,962,377","86,622","8,975","651,054","-330,478","-239,910","471,221","179,833","183,921",18.47,14.27,13.92,9.92,39.92,"33,143.62","5,777",13.55,"43,611",1.80,"1,444",1.84,25.00,"5,969,782,550",삼성전자우,005935,2021
"2017/12
									
(IFRS연결)","2,395,754","536,450","536,450","561,960","421,867","413,446","8,422","3,017,521","872,607","2,144,914","2,072,134","72,780","8,975","621,620","-493,852","-125,609","427,922","193,698","188,140",22.39,17.61,21.01,14.96,40.68,"24,536.12","5,421",9.40,"30,427",1.67,850,1.67,14.09,"6,454,924,700",삼성전자,005930,2017
"2018/12
									
(IFRS연결)","2,437,714","588,867","588,867","611,600","443,449","438,909","4,540","3,393,572","916,041","2,477,532","2,400,690","76,842","8,975","670,319","-522,405","-150,902","295,564","374,755","146,671",24.16,18.19,19.63,13.83,36.97,"27,531.92","6,024",6.42,"35,342",1.09,"1,416",3.66,21.92,"5,969,782,550",삼성전자,005930,2018
"2019/12
									
(IFRS연결)","2,304,009","277,685","277,685","304,322","217,389","215,051","2,338","3,525,645","896,841","2,628,804","2,549,155","79,649","8,975","453,829","-399,482","-94,845","253,678","200,152","184,120",12.05,9.44,8.69,6.28,34.12,"28,856.02","3,166",17.63,"37,528",1.49,"1,416",2.54,44.73,"5,969,782,550",삼성전자,005930,2019
"2020/12
									
(IFRS연결)","2,368,070","359,939","359,939","363,451","264,078","260,908","3,170","3,782,357","1,022,877","2,759,480","2,676,703","82,777","8,975","652,870","-536,286","-83,278","375,920","276,950","202,174",15.20,11.15,9.98,7.23,37.07,"30,692.79","3,841",21.09,"39,406",2.06,"2,994",3.70,77.95,"5,969,782,550",삼성전자,005930,2020
"2021/12
									
(IFRS연결)","2,796,048","516,339","516,339","533,518","399,074","392,438","6,637","4,266,212","1,217,212","3,048,999","2,962,377","86,622","8,975","651,054","-330,478","-239,910","471,221","179,833","183,921",18.47,14.27,13.92,9.92,39.92,"33,143.62","5,777",13.55,"43,611",1.80,"1,444",1.84,25.00,"5,969,782,550",삼성전자,005930,2021
"2017/12
									
(IFRS연결)","301,094","137,213","137,213","134,396","106,422","106,415",7,"454,185","115,975","338,209","338,153",56,"36,577","146,906","-119,192","-3,519","91,283","55,623","41,713",45.57,35.34,36.80,27.42,34.29,859.32,"14,617",5.23,"47,897",1.60,"1,000",1.31,6.63,"728,002,365",SK하이닉스,000660,2017
"2018/12
									
(IFRS연결)","404,451","208,438","208,438","213,410","155,400","155,401",-1,"636,583","168,060","468,523","468,457",,"36,577","222,272","-214,287","-13,953","160,361","61,911","52,819",51.54,38.42,38.53,28.49,35.87,"1,262.49","21,346",2.83,"68,488",0.88,"1,500",2.48,6.60,"728,002,365",SK하이닉스,000660,2018
"2019/12
									
(IFRS연결)","269,907","27,192","27,192","24,326","20,091","20,060",31,"652,484","173,125","479,359","479,211",148,"36,577","65,497","-104,509","38,367","139,202","-73,705","121,905",10.07,7.44,4.23,3.12,36.12,"1,286.81","2,755",34.15,"70,060",1.34,"1,000",1.06,34.10,"728,002,365",SK하이닉스,000660,2019
"2020/12
									
(IFRS연결)","319,004","50,126","50,126","62,370","47,589","47,551",38,"711,739","192,648","519,091","518,885",206,"36,577","123,146","-118,404","2,521","100,687","22,459","128,954",15.71,14.92,9.53,6.98,37.11,"1,398.15","6,532",18.14,"75,860",1.56,"1,170",0.99,16.83,"728,002,365",SK하이닉스,000660,2020
"2021/12
									
(IFRS연결)","429,978","124,103","124,103","134,160","96,162","96,023",139,"963,865","341,954","621,911","621,571",340,"36,577","197,976","-223,923","44,923","124,866","73,110","191,496",28.86,22.36,16.84,11.48,54.98,"1,643.64","13,190",9.93,"90,394",1.45,"1,540",1.18,11.03,"728,002,365",SK하이닉스,000660,2021
"2017/12
									
(IFRS연결)","256,980","29,285","29,285","25,639","20,220","19,453",767,"250,412","87,026","163,386","161,685","1,700","3,914","31,807","-16,404","-7,365","22,526","9,281","30,449",11.40,7.87,12.92,8.88,53.26,"4,167.96","24,854",16.30,"211,043",1.92,"6,000",1.48,23.65,"70,592,343",LG 화학,051915,2017
"2018/12
									
(IFRS연결)","281,830","22,461","22,461","19,400","15,193","14,726",467,"289,441","116,220","173,221","170,830",,"3,914","21,250","-36,390","17,938","42,194","-20,944","53,211",7.97,5.39,8.86,5.63,67.09,"4,412.01","18,812",18.45,"222,980",1.56,"6,000",1.73,31.24,"70,592,343",LG 화학,051915,2018
"2019/12
									
(IFRS연결)","273,531","8,254","8,254","5,744","3,761","3,134",627,"340,244","166,406","173,838","170,050","3,788","3,914","31,211","-61,114","23,006","62,382","-31,171","84,143",3.02,1.38,1.84,1.20,95.73,"4,362.05","4,003",79.31,"221,961",1.43,"2,000",0.63,49.02,"70,592,343",LG 화학,051915,2019
"2020/12
									
(IFRS연결)","300,589","18,054","18,054","9,516","6,824","5,126","1,698","413,889","225,985","187,904","180,391","7,513","3,914","58,408","-52,964","9,381","55,358","3,050","101,861",6.01,2.27,2.93,1.81,120.27,"4,565.03","6,549",125.83,"231,866",3.55,"10,000",1.21,151.84,"70,592,343",LG 화학,051915,2020
