,name,code
0,삼성전자우,005935
5,삼성전자,005930
10,SK하이닉스,000660
15,LG 화학,051915
20,삼성바이오로직스,207940
25,현대차2우B,005387
30,현대차우,005385
35,현대차3우B,005389
40,삼성SDI,006400
45,삼성SDI우,006405
50,NAVER,035420
55,LG화학,051910
60,현대차,005380
65,카카오,035720
70,기아,000270
75,삼성물산우B,02826K
80,LG전자우,066575
85,LG생활건강우,051905
90,SK이노우,096775
95,셀트리온,068270
100,KB금융,105560
105,신한지주,055550
110,POSCO홀딩스,005490
115,LG전자,066570
120,SK우,03473K
125,삼성물산,028260
130,현대모비스,012330
135,SK이노베이션,096770
140,LG우,003555
145,한국전력,015760
150,삼성전기우,009155
155,SK그룹,034730
160,HMM,011200
165,하나금융지주,086790
170,아모레퍼시픽우,090435
175,두산중공업,034020
180,LG생활건강,051900
185,LG,003550
190,S-oil,010950
195,SK텔레콤,017670
200,삼성전기,009150
205,삼성생명,032830
210,삼성에스디에스,018260
215,S-Oil우,010955
220,우리금융지주,316140
225,삼성화재 우선주,000815
230,대한항공,003490
235,아모레퍼시픽,090430
240,대한항공우,003495
245,KT&G,033780
250,고려아연,010130
255,셀트리온헬스케어,091990
260,삼성화재,000810
265,엔씨소프트,036570
270,기업은행,024110
275,KT,030200
280,LG이노텍,011070
285,현대글로비스,086280
290,CJ제일우,097955
295,한화케미칼우,009835
300,넷마블,251270
305,엘앤에프,066970
310,롯데케미칼,011170
315,금호석유우,011785
320,미래에셋대우2우b,00680K
325,미래에셋우,006805
330,한국조선해양,009540
335,한화솔루션,009830
340,LG디스플레이,034220
345,현대건설우,000725
350,LG유플러스,032640
355,한온시스템,018880
360,CJ제일제당,097950
365,한국금융우,071055
370,맥쿼리인프라,088980
375,현대제철,004020
380,SKC,011790
385,강원랜드,035250
390,삼성엔지니어링,028050
395,아모레G우,002795
400,코웨이,021240
405,삼성중공업,010140
410,현대건설,000720
415,메리츠화재,000060
420,한국항공우주,047810
425,미래에셋증권,006800
