,PCR,수정주가,CPS,code,year
2017/12(IFRS연결),26.47,"52,900","1,999",108320,2017
2018/12(IFRS연결),19.96,"33,600","1,683",108320,2018
2019/12(IFRS연결),31.28,"39,800","1,272",108320,2019
2020/12(IFRS연결),11.41,"58,200","5,100",108320,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",6.46,"167,300","25,916",108320,2021
2017/12(IFRS연결),121.68,"9,660",79,077500,2017
2018/12(IFRS연결),14.18,"6,380",450,077500,2018
2019/12(IFRS연결),-7.45,"6,670",-895,077500,2019
2020/12(IFRS연결),45.57,"14,700",323,077500,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",33.78,"12,100",358,077500,2021
2017/12(IFRS연결),9.51,"1,608",169,091090,2017
2018/12(IFRS연결),80.56,"1,800",22,091090,2018
2019/12(IFRS연결),-7.02,"1,440",-205,091090,2019
2020/12(IFRS연결),25.50,"1,488",58,091090,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",8.44,"1,140",135,091090,2021
2017/12(IFRS연결),23.15,927,40,004060,2017
2018/12(IFRS연결),-10.43,736,-71,004060,2018
2019/12(IFRS연결),5.87,904,154,004060,2019
2020/12(IFRS연결),22.99,605,26,004060,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",41.10,684,17,004060,2021
2017/12(IFRS연결),6.25,"50,960","8,151",005935,2017
2018/12(IFRS연결),4.21,"38,700","9,200",005935,2018
2019/12(IFRS연결),8.35,"55,800","6,681",005935,2019
2020/12(IFRS연결),8.43,"81,000","9,611",005935,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",8.17,"78,300","9,585",005935,2021
2017/12(IFRS연결),6.25,"50,960","8,151",005930,2017
2018/12(IFRS연결),4.21,"38,700","9,200",005930,2018
2019/12(IFRS연결),8.35,"55,800","6,681",005930,2019
2020/12(IFRS연결),8.43,"81,000","9,611",005930,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",8.17,"78,300","9,585",005930,2021
2017/12(IFRS연결),3.79,"76,500","20,179",000660,2017
2018/12(IFRS연결),1.98,"60,500","30,532",000660,2018
2019/12(IFRS연결),10.46,"94,100","8,997",000660,2019
2020/12(IFRS연결),7.01,"118,500","16,916",000660,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",4.82,"131,000","27,194",000660,2021
2017/12(IFRS연결),9.97,"405,000","40,639",051915,2017
2018/12(IFRS연결),12.78,"347,000","27,145",051915,2018
2019/12(IFRS연결),7.96,"317,500","39,870",051915,2019
2020/12(IFRS연결),11.04,"824,000","74,614",051915,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",8.74,"615,000","70,385",051915,2021
2017/12(IFRS별도),163.88,"366,658","2,237",207940,2017
2018/12(IFRS별도),-774.68,"381,977",-493,207940,2018
2019/12(IFRS별도),"2,822.15","427,932",152,207940,2019
2020/12(IFRS연결),270.49,"816,333","3,018",207940,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",131.45,"892,432","6,789",207940,2021
2017/12(IFRS연결),11.35,"156,000","13,740",005387,2017
2018/12(IFRS연결),8.87,"118,500","13,359",005387,2018
2019/12(IFRS연결),79.50,"120,500","1,516",005387,2019
2020/12(IFRS연결),-129.75,"192,000","-1,480",005387,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",-49.20,"209,000","-4,248",005387,2021
2017/12(IFRS연결),11.35,"156,000","13,740",005385,2017
2018/12(IFRS연결),8.87,"118,500","13,359",005385,2018
2019/12(IFRS연결),79.50,"120,500","1,516",005385,2019
2020/12(IFRS연결),-129.75,"192,000","-1,480",005385,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",-49.20,"209,000","-4,248",005385,2021
2017/12(IFRS연결),11.35,"156,000","13,740",005389,2017
2018/12(IFRS연결),8.87,"118,500","13,359",005389,2018
2019/12(IFRS연결),79.50,"120,500","1,516",005389,2019
2020/12(IFRS연결),-129.75,"192,000","-1,480",005389,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",-49.20,"209,000","-4,248",005389,2021
2017/12(IFRS연결),-57.55,"204,500","-3,554",006400,2017
2018/12(IFRS연결),59.14,"219,000","3,703",006400,2018
2019/12(IFRS연결),17.99,"236,000","13,115",006400,2019
2020/12(IFRS연결),22.68,"628,000","27,689",006400,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",21.19,"655,000","30,917",006400,2021
2017/12(IFRS연결),-57.55,"204,500","-3,554",006405,2017
2018/12(IFRS연결),59.14,"219,000","3,703",006405,2018
2019/12(IFRS연결),17.99,"236,000","13,115",006405,2019
2020/12(IFRS연결),22.68,"628,000","27,689",006405,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",21.19,"655,000","30,917",006405,2021
2017/12(IFRS연결),30.51,"174,000","5,703",035420,2017
2018/12(IFRS연결),20.65,"122,000","5,907",035420,2018
2019/12(IFRS연결),22.65,"186,500","8,233",035420,2019
2020/12(IFRS연결),33.22,"292,500","8,806",035420,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",45.05,"378,500","8,402",035420,2021
2017/12(IFRS연결),9.97,"405,000","40,639",051910,2017
2018/12(IFRS연결),12.78,"347,000","27,145",051910,2018
2019/12(IFRS연결),7.96,"317,500","39,870",051910,2019
2020/12(IFRS연결),11.04,"824,000","74,614",051910,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",8.74,"615,000","70,385",051910,2021
2017/12(IFRS연결),11.35,"156,000","13,740",005380,2017
2018/12(IFRS연결),8.87,"118,500","13,359",005380,2018
2019/12(IFRS연결),79.50,"120,500","1,516",005380,2019
2020/12(IFRS연결),-129.75,"192,000","-1,480",005380,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",-49.20,"209,000","-4,248",005380,2021
2017/12(IFRS연결),24.97,"27,400","1,098",035720,2017
2018/12(IFRS연결),16.37,"20,600","1,258",035720,2018
2019/12(IFRS연결),17.12,"30,700","1,793",035720,2019
2020/12(IFRS연결),35.14,"77,900","2,217",035720,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",38.27,"112,500","2,940",035720,2021
2017/12(IFRS연결),5.23,"33,500","6,400",000270,2017
2018/12(IFRS연결),3.06,"33,700","11,029",000270,2018
2019/12(IFRS연결),4.97,"44,300","8,907",000270,2019
2020/12(IFRS연결),4.66,"62,400","13,380",000270,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",4.53,"82,200","18,156",000270,2021
2017/12(IFRS연결),18.37,"126,000","6,860",02826K,2017
2018/12(IFRS연결),12.03,"105,500","8,773",02826K,2018
2019/12(IFRS연결),26.93,"108,500","4,029",02826K,2019
2020/12(IFRS연결),20.61,"138,000","6,695",02826K,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",18.76,"119,000","6,343",02826K,2021
2017/12(IFRS연결),8.85,"106,000","11,979",066575,2017
2018/12(IFRS연결),2.48,"62,300","25,115",066575,2018
2019/12(IFRS연결),3.53,"72,100","20,401",066575,2019
2020/12(IFRS연결),5.27,"135,000","25,596",066575,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",9.32,"138,000","14,806",066575,2021
2017/12(IFRS연결),28.64,"1,189,000","41,510",051905,2017
2018/12(IFRS연결),23.87,"1,101,000","46,118",051905,2018
2019/12(IFRS연결),19.60,"1,261,000","64,321",051905,2019
2020/12(IFRS연결),28.56,"1,620,000","56,713",051905,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",19.74,"1,097,000","55,564",051905,2021
2017/12(IFRS연결),8.79,"204,500","23,264",096775,2017
2018/12(IFRS연결),9.90,"179,500","18,135",096775,2018
2019/12(IFRS연결),7.70,"150,000","19,483",096775,2019
2020/12(IFRS연결),6.25,"190,000","30,421",096775,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",-46.28,"238,500","-5,154",096775,2021
2017/12(IFRS연결),55.94,"199,972","3,575",068270,2017
2018/12(IFRS연결),74.79,"204,832","2,739",068270,2018
2019/12(IFRS연결),51.51,"174,452","3,387",068270,2019
2020/12(IFRS연결),140.93,"352,352","2,500",068270,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",30.55,"198,000","6,481",068270,2021
2017/12(IFRS연결),-5.48,"63,400","-11,566",105560,2017
2018/12(IFRS연결),-2.17,"46,500","-21,424",105560,2018
2019/12(IFRS연결),2.12,"47,650","22,491",105560,2019
2020/12(IFRS연결),-1.56,"43,400","-27,755",105560,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",-3.41,"55,000","-16,114",105560,2021
2017/12(IFRS연결),22.94,"49,400","2,154",055550,2017
2018/12(IFRS연결),-2.97,"39,600","-13,328",055550,2018
2019/12(IFRS연결),2.93,"43,350","14,772",055550,2019
2020/12(IFRS연결),-3.68,"32,050","-8,706",055550,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",1.77,"36,800","20,746",055550,2021
2017/12(IFRS연결),5.17,"332,500","64,314",005490,2017
2018/12(IFRS연결),3.61,"243,000","67,324",005490,2018
2019/12(IFRS연결),3.43,"236,500","68,871",005490,2019
2020/12(IFRS연결),2.73,"272,000","99,622",005490,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",3.82,"274,500","71,793",005490,2021
2017/12(IFRS연결),8.85,"106,000","11,979",066570,2017
2018/12(IFRS연결),2.48,"62,300","25,115",066570,2018
2019/12(IFRS연결),3.53,"72,100","20,401",066570,2019
2020/12(IFRS연결),5.27,"135,000","25,596",066570,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",9.32,"138,000","14,806",066570,2021
2017/12(IFRS연결),2.90,"283,000","97,708",03473K,2017
2018/12(IFRS연결),2.35,"260,000","110,770",03473K,2018
2019/12(IFRS연결),2.31,"262,000","113,184",03473K,2019
2020/12(IFRS연결),1.76,"240,500","136,685",03473K,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",2.92,"251,000","85,982",03473K,2021
2017/12(IFRS연결),18.37,"126,000","6,860",028260,2017
2018/12(IFRS연결),12.03,"105,500","8,773",028260,2018
2019/12(IFRS연결),26.93,"108,500","4,029",028260,2019
2020/12(IFRS연결),20.61,"138,000","6,695",028260,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",18.76,"119,000","6,343",028260,2021
2017/12(IFRS연결),13.14,"263,000","20,018",012330,2017
2018/12(IFRS연결),11.49,"190,000","16,540",012330,2018
2019/12(IFRS연결),9.29,"256,000","27,549",012330,2019
2020/12(IFRS연결),9.81,"255,500","26,049",012330,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",9.25,"254,500","27,524",012330,2021
2017/12(IFRS연결),8.79,"204,500","23,264",096770,2017
2018/12(IFRS연결),9.90,"179,500","18,135",096770,2018
2019/12(IFRS연결),7.70,"150,000","19,483",096770,2019
2020/12(IFRS연결),6.25,"190,000","30,421",096770,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",-46.28,"238,500","-5,154",096770,2021
2017/12(IFRS연결),15.12,"91,000","6,018",003555,2017
2018/12(IFRS연결),24.84,"69,900","2,814",003555,2018
2019/12(IFRS연결),15.85,"73,800","4,655",003555,2019
2020/12(IFRS연결),20.82,"87,500","4,202",003555,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",13.13,"80,900","6,160",003555,2021
2017/12(IFRS연결),2.18,"38,150","17,524",015760,2017
2018/12(IFRS연결),3.18,"33,100","10,406",015760,2018
2019/12(IFRS연결),2.17,"27,800","12,794",015760,2019
2020/12(IFRS연결),1.33,"27,400","20,575",015760,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",3.17,"22,100","6,968",015760,2021
2017/12(IFRS연결),10.81,"100,000","9,248",009155,2017
2018/12(IFRS연결),5.15,"103,500","20,086",009155,2018
2019/12(IFRS연결),9.50,"125,000","13,161",009155,2019
2020/12(IFRS연결),8.70,"178,000","20,465",009155,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",8.85,"197,500","22,310",009155,2021
2017/12(IFRS연결),2.90,"283,000","97,708",034730,2017
2018/12(IFRS연결),2.35,"260,000","110,770",034730,2018
2019/12(IFRS연결),2.31,"262,000","113,184",034730,2019
2020/12(IFRS연결),1.76,"240,500","136,685",034730,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",2.92,"251,000","85,982",034730,2021
2017/12(IFRS연결),-3.97,"5,020","-1,265",011200,2017
2018/12(IFRS연결),-2.78,"3,695","-1,329",011200,2018
2019/12(IFRS연결),2.82,"3,550","1,259",011200,2019
2020/12(IFRS연결),3.19,"13,950","4,366",011200,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",1.39,"26,900","19,341",011200,2021
2017/12(IFRS연결),2.45,"49,800","20,310",086790,2017
2018/12(IFRS연결),-2.00,"36,250","-18,137",086790,2018
2019/12(IFRS연결),1.70,"36,900","21,749",086790,2019
2020/12(IFRS연결),-1.34,"34,500","-25,701",086790,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",18.13,"42,050","2,319",086790,2021
2017/12(IFRS연결),41.00,"304,500","7,427",090435,2017
2018/12(IFRS연결),22.36,"209,500","9,370",090435,2018
2019/12(IFRS연결),19.22,"200,000","10,408",090435,2019
2020/12(IFRS연결),25.65,"206,000","8,032",090435,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",16.67,"167,000","10,017",090435,2021
2017/12(IFRS연결),4.18,"11,743","2,807",034020,2017
2018/12(IFRS연결),1.21,"7,444","6,145",034020,2018
2019/12(IFRS연결),2.42,"5,072","2,095",034020,2019
2020/12(IFRS연결),12.65,"13,030","1,030",034020,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",9.58,"20,400","2,130",034020,2021
2017/12(IFRS연결),28.64,"1,189,000","41,510",051900,2017
2018/12(IFRS연결),23.87,"1,101,000","46,118",051900,2018
2019/12(IFRS연결),19.60,"1,261,000","64,321",051900,2019
2020/12(IFRS연결),28.56,"1,620,000","56,713",051900,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",19.74,"1,097,000","55,564",051900,2021
2017/12(IFRS연결),15.12,"91,000","6,018",003550,2017
2018/12(IFRS연결),24.84,"69,900","2,814",003550,2018
2019/12(IFRS연결),15.85,"73,800","4,655",003550,2019
2020/12(IFRS연결),20.82,"87,500","4,202",003550,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",13.13,"80,900","6,160",003550,2021
2017/12(IFRS연결),11.93,"117,000","9,805",010950,2017
2018/12(IFRS연결),-39.53,"97,700","-2,471",010950,2018
